label,precision,recall,f1-score,support
BACKGROUND,0.6277068295391449,0.6555523340098579,0.6413274712806694,3449.0
OBJECTIVE,0.6065152164594942,0.5955387205387206,0.6009768528349968,2376.0
METHODS,0.9008149473265752,0.9096748293857888,0.9052232098272246,9964.0
RESULTS,0.8961998958875586,0.8747078548927955,0.8853234598374987,9841.0
CONCLUSIONS,0.7529284164859003,0.757529463116543,0.7552219321148825,4582.0
accuracy,0.821494770289951,0.821494770289951,0.821494770289951,0.821494770289951
macro avg,0.7568330611397347,0.7586006403887412,0.7576145851790544,30212.0
weighted avg,0.822559986903155,0.821494770289951,0.8219382554849949,30212.0
