label,precision,recall,f1-score,support
BACKGROUND,0.7039932979614633,0.7309365033342998,0.7172119487908961,3449.0
OBJECTIVE,0.6715391229578676,0.6574074074074074,0.6643981284559762,2376.0
METHODS,0.9205891133446114,0.9284423926134082,0.9244990756008594,9964.0
RESULTS,0.9341897441297252,0.901534396910883,0.917571620643293,9841.0
CONCLUSIONS,0.8873712964908594,0.9216499345264076,0.9041858473396852,4582.0
accuracy,0.8747848537005164,0.8747848537005164,0.8747848537005164,0.8747848537005164
macro avg,0.8235365149769054,0.8279941269584812,0.8255733241661419,30212.0
weighted avg,0.8756684866504842,0.8747848537005164,0.875042520360759,30212.0
