label,precision,recall,f1-score,support
BACKGROUND,0.640655373507359,0.6688895331980285,0.654468085106383,3449.0
OBJECTIVE,0.644620811287478,0.6153198653198653,0.6296296296296297,2376.0
METHODS,0.9014210474013714,0.910377358490566,0.9058770659609527,9964.0
RESULTS,0.9068559923704567,0.8696270704196728,0.8878514368710447,9841.0
CONCLUSIONS,0.7418955193062151,0.7841553906591008,0.7624403183023872,4582.0
accuracy,0.8271878723685953,0.8271878723685953,0.8271878723685953,0.8271878723685953
macro avg,0.767089748774576,0.7696738436174466,0.7680533071740794,30212.0
weighted avg,0.8290326306610598,0.8271878723685953,0.8278256004063399,30212.0
